|     | key                           |   unq_tld_camp | tld     | url                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|----:|:------------------------------|---------------:|:--------|:-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|   0 | 1                             |              1 | com     | https://mydealpoint.com/fzOZdB5/Infos-BP3/bp                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   1 | dom_repl                      |              1 | co      | https://3fd78d3d-068b-49db-8366-a58e891fb5b7.id.repl.co                                                                                                                                                                                                                                                                                                                                                                                                                |
|   2 | dom_repl                      |              1 | co      | https://notableanimatedmachinecode.adfdfsdfs232.repl.co                                                                                                                                                                                                                                                                                                                                                                                                                |
|   3 | dom_repl                      |              1 | co      | https://43554--9384239.repl.co/index1.html                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   4 | dom_repl                      |              1 | co      | https://provincia0.366473.repl.co/index1.html                                                                                                                                                                                                                                                                                                                                                                                                                          |
|   5 | dom_repl                      |              1 | co      | http://bmaproap.bamporaviatul.repl.co                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|   6 | dom_repl                      |              1 | co      | http://verticalcreativehardware.maria09877.repl.co                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   7 | 3                             |              1 | io      | https://dev-pnchnewmlt.pantheonsite.io                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   8 | 4                             |              1 | cloud   | https://admin-1lihodhl.paiza-user-basic.cloud/wp-includes/LOL/44                                                                                                                                                                                                                                                                                                                                                                                                       |
|   9 | 7                             |              1 | sa      | https://khair-d.sa/%d8%a7%d9%84%d8%a8%d9%86%d9%88%d9%83?page_id=78?page_id=78                                                                                                                                                                                                                                                                                                                                                                                          |
|  10 | 8                             |              1 | com     | http://personas.qa-bam.com/login                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  11 | 10                            |              1 | com     | https://www.vemaybaykimphung.com/jp                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|  12 | 12                            |              1 | io      | https://gitmakara.github.io/fbinfo.github.io                                                                                                                                                                                                                                                                                                                                                                                                                           |
|  13 | 13                            |              1 | de      | http://girokonto-dkb.de-banking.hpls.de/de/a1b2c3/814bc60134819797da9b719ab51ad29b/login                                                                                                                                                                                                                                                                                                                                                                               |
|  14 | 14                            |              1 | live    | http://raydiskn.live                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  15 | 15                            |              1 | site    | https://vtb24-rb.site                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|  16 | 16                            |              1 | top     | https://mosqu.itsian.top                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|  17 | 17                            |              1 | com     | http://tinyurl.com/bdhh9xa4                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  18 | 18                            |              1 | com     | http://phpstack-909731-3157755.cloudwaysapps.com                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  19 | 19                            |              1 | ru      | https://infotarif.ru/tinkoff-mobile/?utm_source=yandex&utm_medium=cpc&utm_campaign=53163488&utm_content=07266859_buw4n2&utm_term=wymrp0j                                                                                                                                                                                                                                                                                                                               |
|  20 | 20                            |              1 | com     | http://assureameli.one-bet-club.com/lastversion                                                                                                                                                                                                                                                                                                                                                                                                                        |
|  21 | 21                            |              1 | dev     | https://huzd1t.webwave.dev                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  22 | 23                            |              1 | hu      | https://bizniszpro.webdesignsuli.hu/wp-admin/bravo/neteasehardest/900                                                                                                                                                                                                                                                                                                                                                                                                  |
|  23 | 24                            |              1 | gr      | https://www.bankingnews.gr                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  24 | dom_weeblysite                |              1 | com     | https://validreplyback.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                  |
|  25 | dom_weeblysite                |              1 | com     | https://mail-100248.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  26 | dom_weeblysite                |              1 | com     | https://mail-104639.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  27 | dom_weeblysite                |              1 | com     | https://mail-101251.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  28 | dom_weeblysite                |              1 | com     | https://mail-105638.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  29 | dom_weeblysite                |              1 | com     | http://yahoo-102092.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  30 | dom_weeblysite                |              1 | com     | http://yahoo-102238.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  31 | dom_weeblysite                |              1 | com     | https://mail-109140.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  32 | dom_weeblysite                |              1 | com     | https://mail-108625.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  33 | dom_weeblysite                |              1 | com     | http://yahoo-102518.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  34 | dom_weeblysite                |              1 | com     | https://att-109341-106965.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                               |
|  35 | dom_weeblysite                |              1 | com     | https://mail-103463.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  36 | dom_weeblysite                |              1 | com     | https://yahoo-102426.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                    |
|  37 | dom_weeblysite                |              1 | com     | https://loginatt-01.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  38 | dom_weeblysite                |              1 | com     | http://yahoo-104161.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  39 | dom_weeblysite                |              1 | com     | https://mail-108133.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  40 | dom_weeblysite                |              1 | com     | https://mail-102359.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  41 | dom_weeblysite                |              1 | com     | http://att-101307-107889.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                |
|  42 | dom_weeblysite                |              1 | com     | http://verification-108967.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                              |
|  43 | dom_weeblysite                |              1 | com     | https://att-onlinewebmail.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                               |
|  44 | dom_weeblysite                |              1 | com     | https://mail-101115.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|  45 | dom_weeblysite                |              1 | com     | https://mail-101714.weeblysite.com                                                                                                                                                                                                                                                                                                                                                                                                                                     |
