sid,fqdn,rd,url,isPhishing
f2717c354d42a57a7526fdb02f635c48,3fd78d3d-068b-49db-8366-a58e891fb5b7.id.repl.co,repl.co, "https://3fd78d3d-068b-49db-8366-a58e891fb5b7.id.repl.co" ,1
be4dbcfca704af7729a8c56a89e32c0e,mydealpoint.com,mydealpoint.com, "https://mydealpoint.com/fzOZdB5/Infos-BP3/bp" ,1
225f4e9e32bef656ecd5401b753dd059,notableanimatedmachinecode.adfdfsdfs232.repl.co,repl.co, "https://notableanimatedmachinecode.adfdfsdfs232.repl.co" ,1
0827f144e547794e859202ee2ab56458,dev-pnchnewmlt.pantheonsite.io,pantheonsite.io, "https://dev-pnchnewmlt.pantheonsite.io" ,1
81116a27235aa87c97136b66b7ef74a5,admin-1lihodhl.paiza-user-basic.cloud,paiza-user-basic.cloud, "https://admin-1lihodhl.paiza-user-basic.cloud/wp-includes/LOL/44" ,1
0cb546316aec808fe27c42f62cda7a51,43554--9384239.repl.co,repl.co, "https://43554--9384239.repl.co/index1.html" ,1
67c20efff01e30d6e32eaf3d901fa6e9,fb-restriction-case-cb47a.firebaseapp.com,firebaseapp.com, "https://fb-restriction-case-cb47a.firebaseapp.com" ,1
aabb26768481f33be3a673083e26c7be,khair-d.sa,khair-d.sa, "https://khair-d.sa/%d8%a7%d9%84%d8%a8%d9%86%d9%88%d9%83?page_id=78?page_id=78" ,1
7317460e8bc9279ad064197deb7c01b4,personas.qa-bam.com,qa-bam.com, "http://personas.qa-bam.com/login" ,1
318eaeaee700c25167d8285fe3482696,rtaniromyp.duckdns.org,duckdns.org, "http://rtaniromyp.duckdns.org" ,1
4adb96d379dd84bf4c61805656ce0fa6,www.vemaybaykimphung.com,vemaybaykimphung.com, "https://www.vemaybaykimphung.com/jp" ,1
c9caf498e7ff1c8ce016e858bc0bd865,validreplyback.weeblysite.com,weeblysite.com, "https://validreplyback.weeblysite.com" ,1
91b58f0d1584c38c1704ae93ca5e94ee,gitmakara.github.io,github.io, "https://gitmakara.github.io/fbinfo.github.io" ,1
a4f4a60f62e60ed0433d78f642a8b6cd,girokonto-dkb.de-banking.hpls.de,hpls.de, "http://girokonto-dkb.de-banking.hpls.de/de/a1b2c3/814bc60134819797da9b719ab51ad29b/login" ,1
a3a22cca15a805e0dba781d684413316,raydiskn.live,raydiskn.live, "http://raydiskn.live" ,1
a757efee2c9b57f69b81a6c2cec2b120,vtb24-rb.site,vtb24-rb.site, "https://vtb24-rb.site" ,1
e30d28ea13a125eac01a6ad8bc584a06,mosqu.itsian.top,itsian.top, "https://mosqu.itsian.top" ,1
8a61134ba5df1e8f8985f4b396bdb241,tinyurl.com,tinyurl.com, "http://tinyurl.com/bdhh9xa4" ,1
eca220669c5fd076e9caafa90e28e676,phpstack-909731-3157755.cloudwaysapps.com,cloudwaysapps.com, "http://phpstack-909731-3157755.cloudwaysapps.com" ,1
e419ad332551fdc00749c7a5ace92087,infotarif.ru,infotarif.ru, "https://infotarif.ru/tinkoff-mobile/?utm_source=yandex&utm_medium=cpc&utm_campaign=53163488&utm_content=07266859_buw4n2&utm_term=wymrp0j" ,1
189b5ce615cea3c9f78e8171068ca4fb,assureameli.one-bet-club.com,one-bet-club.com, "http://assureameli.one-bet-club.com/lastversion" ,1
d50acc8d3ac4e69fc797527d2cf411e4,huzd1t.webwave.dev,webwave.dev, "https://huzd1t.webwave.dev" ,1
a910e6fec8d019e4e5ee0c157ee7f29e,mail-103837.square.site,square.site, "http://mail-103837.square.site" ,1
eea0b8363f6e2485e3eb7f880e2bacc7,bizniszpro.webdesignsuli.hu,webdesignsuli.hu, "https://bizniszpro.webdesignsuli.hu/wp-admin/bravo/neteasehardest/900" ,1
f87ddf16154409b73d83e4bc8fd0acfd,www.bankingnews.gr,bankingnews.gr, "https://www.bankingnews.gr" ,1
6ba63cf911f95359fac9bdb323eb0cfb,mail-100248.weeblysite.com,weeblysite.com, "https://mail-100248.weeblysite.com" ,1
4ec7f7bafdb2cf5ae163641f031f5f70,ydyuwqxfzi.duckdns.org,duckdns.org, "http://ydyuwqxfzi.duckdns.org" ,1
aff3451fbe5c97f7ad6b62aaa8e4f1b3,mail-104639.weeblysite.com,weeblysite.com, "https://mail-104639.weeblysite.com" ,1
2bad460c1929419e8048890fe1818b10,mailsupport-104793.square.site,square.site, "https://mailsupport-104793.square.site" ,1
ec88f1135570246bd97d8aba7953bc65,mail-107366.square.site,square.site, "https://mail-107366.square.site" ,1
2355a08d0804353d1fadd80733c15cc3,olinexyl.tk,olinexyl.tk, "https://olinexyl.tk/ru/lukoil-bonus" ,1
